experiment_name,task_mode,backbone_name,input_mode,fusion_type,split,folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,run_root
resnet18_triple_view_late_fusion_2class,2class,resnet18,triple_view,late_fusion,val,3,0.8800260126347083,0.053377920471106,0.8767871997283762,0.051371156831710084,0.8777546649101399,0.05394555122252377,0.879594829919449,0.05339999160567389,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_triple_view_late_fusion
resnet18_triple_view_late_fusion_2class,2class,resnet18,triple_view,late_fusion,test,3,0.8173327664399093,0.10029689110319541,0.7964521650954288,0.1160357094666593,0.7973905710388401,0.11523730496740227,0.8149036178991537,0.10343619395226829,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_2class_triple_view_late_fusion
single_view,3class,resnet18,triple_view,single_view,val,3,0.8505202526941658,0.07631693624720959,0.8804521404521405,0.049212323029565026,0.8549040462482498,0.07485611001202326,0.8506762713302208,0.07747017241253255,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_single_view
single_view,3class,resnet18,triple_view,single_view,test,3,0.8237103174603174,0.044021021928507424,0.8348298198393075,0.04289897690955414,0.8268972188146992,0.04828464479155268,0.8183348089936207,0.04822232866603339,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_single_view
mlp_concat,3class,resnet18,triple_view,mlp_concat,val,3,0.8902266815310294,0.08654153678322693,0.9015007215007215,0.058048115345158455,0.8962041346312446,0.07266615365826659,0.8912059964501928,0.08293728861936296,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_mlp_concat
mlp_concat,3class,resnet18,triple_view,mlp_concat,test,3,0.8137508950948801,0.1127044279870562,0.8134583393293598,0.1131154231871646,0.8106432320506367,0.11426402267628756,0.8090736232458408,0.11606151113577504,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_mlp_concat
cross_attention,3class,resnet18,triple_view,cross_attention,val,3,0.8675771088814567,0.10598548258878912,0.8838383838383839,0.06533721870220699,0.8802648372334568,0.08288325553637609,0.8695394221932689,0.10048408577092482,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_cross_attention
cross_attention,3class,resnet18,triple_view,cross_attention,test,3,0.8097528046306242,0.00815856117206543,0.8197951866384293,0.011669395471425509,0.8133878372613619,0.010134160406452684,0.8044793244097342,0.009609101452022886,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_cross_attention
resnet18_ir_only_single_view_3class,3class,resnet18,ir_only,single_view,val,3,0.8517837235228539,0.11377140684685266,0.8657912457912458,0.08539662653754626,0.8469074190007969,0.11319668904949112,0.8483271840917411,0.11621571713698152,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_ir_only_single_view
resnet18_ir_only_single_view_3class,3class,resnet18,ir_only,single_view,test,3,0.7270758742093328,0.11265431234212747,0.7298172773689324,0.11599478956277492,0.7117197531837696,0.1254010119837019,0.7084681450161125,0.12615963093342564,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_ir_only_single_view
resnet18_rgb_dual_mlp_concat_3class,3class,resnet18,rgb_dual,mlp_concat,val,3,0.8808063916759569,0.08055617643730097,0.9101010101010101,0.032855466600587004,0.8911954007192102,0.06717250349521517,0.8803674433074019,0.0798279425958466,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_rgb_dual_mlp_concat
resnet18_rgb_dual_mlp_concat_3class,3class,resnet18,rgb_dual,mlp_concat,test,3,0.8349154135338346,0.08577131554542079,0.8412108292142026,0.08458707782487207,0.8322581964438645,0.08917649678800124,0.8292831204979351,0.09166606592017607,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_rgb_dual_mlp_concat
resnet18_triple_view_late_fusion_3class,3class,resnet18,triple_view,late_fusion,val,3,0.8138610182088443,0.11416579304303227,0.8217989417989418,0.11194256806931557,0.8047629196606179,0.11799939513810341,0.8058902834638129,0.11738275207205326,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_triple_view_late_fusion
resnet18_triple_view_late_fusion_3class,3class,resnet18,triple_view,late_fusion,test,3,0.7746993973027807,0.05032077469520117,0.7786298479965463,0.05308358451175314,0.7751157158860885,0.052192032058964034,0.7707208887398243,0.05562770111545325,/home/gjw/code/Qwen-SLM/runs/classic_mm_baselines/official_cv_3class_triple_view_late_fusion
